"Age","Gender_of_partner","desire","partner_respo","attachment_anxious","attachment_avoidant","Rel_length","intimacy_lb","intimacy_m","intimacy_ub"
27,"female",12,16.7973539029524,11,12,0.3,3.69734044738856,4.21283263234203,4.62040003943125
33,"male",4,13.2610688707519,13,10,2,2.52339780401997,3.26815726333372,3.95782188055171
22,"male",2,7.95664132245114,12,10,6,2.45948682897352,3.20655900101369,3.91029324667445
23,"male",12,18.5654964190527,13,6,8,4.23213115962821,4.49062347096964,4.71249401035485
24,"male",12,16.7973539029524,13,9,0.3,3.32813525321747,3.9536768862078,4.45468114876369
21,"male",4,16.7973539029524,13,11,5,4.23213115962821,4.49062347096964,4.71249401035485
28,"female",12,18.5654964190527,14,4,7,4.23213115962821,4.49062347096964,4.71249401035485
31,"female",12,16.7973539029524,11,5,10,3.69726026805738,4.21278160189603,4.62037106965084
24,"male",11,11.4929263546517,14,10,4,2.73525169771869,3.46351610011181,4.10441384218585
41,"female",14,18.5654964190527,14,2,2.5,3.83363930894233,4.29581244770475,4.66413943499753
52,"male",13,16.7973539029524,9,6,1,4.23213115962821,4.49062347096964,4.71249401035485
53,"female",14,17.6814251610025,12,11,1,4.23213115962821,4.49062347096964,4.71249401035485
31,"male",2,5.30442754830076,7,13,5,1.91194446787906,2.60846415409758,3.39009464666054
23,"male",8,15.0292113868522,14,12,3,3.2468037561864,3.89107866828474,4.4114026247153
32,"female",12,15.9132826449023,10,10,10,3.2468037561864,3.89107866828474,4.4114026247153
19,"male",13,18.5654964190527,14,5,5,4.23213115962821,4.49062347096964,4.71249401035485
44,"male",14,17.6814251610025,12,10,1,3.52022732427683,4.09420110172174,4.54825904390915
20,"female",13,17.6814251610025,14,4,1.5,4.23213115962821,4.49062347096964,4.71249401035485
41,"male",12,16.7973539029524,13,6,7,4.23213115962821,4.49062347096964,4.71249401035485
23,"male",4,8.84071258050127,14,8,5,3.46479081733764,4.05480521956957,4.52268227019986
38,"male",14,14.145140128802,8,7,3,4.23213115962821,4.49062347096964,4.71249401035485
31,"male",12,16.7973539029524,13,6,4,3.95219527907281,4.36157564792909,4.6922930419966
20,"male",12,16.7973539029524,13,10,0.1,3.54453767717419,4.11115408577104,4.55905976812338
26,"female",14,18.5654964190527,9,9,1,4.23213115962821,4.49062347096964,4.71249401035485
29,"male",2,6.18849880635089,14,10,9,2.02860583456855,2.74860308964586,3.52443252869244
59,"male",2,14.145140128802,11,7,39,2.31746768181145,3.06449133480923,3.79747733436712
50,"male",8,14.145140128802,11,8,12,3.4648025053545,4.05481363037066,4.5226877953066
33,"female",11,13.2610688707519,13,9,11,3.95224533975464,4.36160210117089,4.69230278428063
21,"male",10,16.7973539029524,12,6,0.5,3.6972780073746,4.2127928923715,4.62037747939536
36,"male",13,16.7973539029524,10,8,2,4.23213115962821,4.49062347096964,4.71249401035485
36,"male",6,16.7973539029524,12,5,10,3.95233621653558,4.36165011970414,4.69232046490716
27,"male",12,18.5654964190527,2,2,4,4.23213115962821,4.49062347096964,4.71249401035485
23,"male",11,14.145140128802,14,8,1,3.08783107490735,3.7642503960024,4.32203008203367
34,"male",8,15.0292113868522,10,8,14,4.23213115962821,4.49062347096964,4.71249401035485
22,"male",6,17.6814251610025,13,5,1,4.23213115962821,4.49062347096964,4.71249401035485
26,"male",2,16.7973539029524,14,4,2,4.23213115962821,4.49062347096964,4.71249401035485
47,"male",6,18.5654964190527,14,8,27,4.23213115962821,4.49062347096964,4.71249401035485
32,"female",7,8.84071258050127,8,10,3,3.2468037561864,3.89107866828474,4.4114026247153
37,"male",9,17.6814251610025,13,12,1,3.2468037561864,3.89107866828474,4.4114026247153
24,"female",6,13.2610688707519,12,9,5,2.5637694895655,3.30639017876531,3.98696780167142
28,"male",10,15.9132826449023,14,9,10,2.8371999090742,3.55331879401647,4.17020908322877
25,"male",6,15.9132826449023,7,5,5,3.46478146775232,4.05479849149355,4.52267785046701
27,"male",8,18.5654964190527,14,12,4,4.23213115962821,4.49062347096964,4.71249401035485
45,"male",12,14.145140128802,14,7,20,3.95219527907281,4.36157564792909,4.6922930419966
26,"female",6,15.9132826449023,14,6,6,3.23402187470032,3.88109281159142,4.40443785707272
33,"male",5,18.5654964190527,14,10,19,3.52024522245539,4.09421365710329,4.54826709184667
28,"male",8,15.0292113868522,12,12,3,3.39191579889571,4.00154870501629,4.48722673711393
19,"male",2,14.145140128802,11,8,2,3.95219527907281,4.36157564792909,4.6922930419966
38,"female",13,13.2610688707519,12,8,18,3.09805131265941,3.77257007014989,4.3279446543961
24,"male",9,18.5654964190527,11,5,2,4.23213115962821,4.49062347096964,4.71249401035485
26,"male",4,9.7247838385514,12,12,3,2.1851277592352,2.92474221778075,3.68106628340947
34,"female",10,15.0292113868522,11,3,9,3.46479081733764,4.05480521956957,4.52268227019986
20,"male",9,15.9132826449023,14,9,0.7,3.46478146775232,4.05479849149355,4.52267785046701
18,"male",13,15.0292113868522,12,11,0.1,3.46476960329964,4.05478995364841,4.52267224185705
21,"male",4,17.6814251610025,13,4,2,3.69734044738856,4.21283263234203,4.62040003943125
26,"male",14,15.9132826449023,11,10,1,3.95228538909692,4.36162326336957,4.69231057689414
46,"male",3,13.2610688707519,14,5,18,3.1389425076155,3.80563445288892,4.35138678705378
29,"male",12,9.7247838385514,13,7,10,2.83811707092383,3.55411556645286,4.17078937556468
23,"male",8,13.2610688707519,13,12,2,3.09389959716841,3.76919307667286,4.32554464961125
24,"male",8,5.30442754830076,11,10,1,1.92167351384507,2.62046458695371,3.40197588163745
25,"male",2,14.145140128802,12,6,5,2.33650888837135,3.08398573680198,3.81325598041266
18,"female",14,16.7973539029524,13,9,3,3.33344389197934,3.95770378586798,4.45743945219842
33,"male",12,15.0292113868522,14,8,18,3.69730052029017,4.21280722090229,4.62038561372927
32,"male",4,14.145140128802,14,8,6,3.46478146775232,4.05479849149355,4.52267785046701
52,"female",7,12.3769976127018,12,7,31,3.08029694885192,3.75810319317668,4.31765601400043
41,"male",3,13.2610688707519,12,7,23,3.09805131265941,3.77257007014989,4.3279446543961
45,"male",12,8.84071258050127,14,8,25,2.75612697413793,3.48210916274945,4.11810397004202
19,"male",11,13.2610688707519,7,5,0.2,4.23213115962821,4.49062347096964,4.71249401035485
23,"male",5,10.6088550966015,14,7,4,3.28174519463446,3.91817533504999,4.43022251655776
27,"male",14,15.9132826449023,14,4,1,4.23213115962821,4.49062347096964,4.71249401035485
26,"male",9,17.6814251610025,14,6,4,4.23213115962821,4.49062347096964,4.71249401035485
24,"male",8,14.145140128802,6,6,8,3.33342679476045,3.95769082870898,4.45743058254708
24,"male",11,14.145140128802,14,10,2,3.32813525321747,3.9536768862078,4.45468114876369
30,"male",13,17.6814251610025,14,7,12,2.49613868820202,3.24204965159498,3.93776765143644
49,"female",14,5.30442754830076,12,8,12,2.96305682901502,3.66091207676,4.24808915858823
40,"male",12,17.6814251610025,13,7,21,2.65131219967516,3.38761971913674,4.04810796870599
23,"female",13,16.7973539029524,13,8,2,3.27452950884725,3.91260420383901,4.4263630685179
25,"male",14,15.0292113868522,12,5,0.5,2.89261060166677,3.60111591187702,4.2049227287436
26,"male",13,18.5654964190527,14,4,9,3.95228538909692,4.36162326336957,4.69231057689414
30,"male",11,17.6814251610025,12,5,5,3.95233621653558,4.36165011970414,4.69232046490716
38,"female",8,8.84071258050127,13,6,2,1.96147693345795,2.66895599574618,3.44924639709961
18,"male",9,15.0292113868522,13,6,0.2,3.2468037561864,3.89107866828474,4.4114026247153
32,"male",8,18.5654964190527,10,5,2,4.23213115962821,4.49062347096964,4.71249401035485
32,"male",6,17.6814251610025,13,9,11,4.23213115962821,4.49062347096964,4.71249401035485
30,"male",10,15.0292113868522,13,3,7,4.23213115962821,4.49062347096964,4.71249401035485
33,"male",11,18.5654964190527,14,5,0.5,4.23213115962821,4.49062347096964,4.71249401035485
24,"male",8,16.7973539029524,14,7,6,4.23213115962821,4.49062347096964,4.71249401035485
23,"female",11,15.0292113868522,7,11,1,2.92256734144984,3.62667424660084,4.22340748515159
41,"male",14,18.5654964190527,12,6,11,4.23213115962821,4.49062347096964,4.71249401035485
29,"male",7,17.6814251610025,13,8,10,3.95219527907281,4.36157564792909,4.6922930419966
37,"male",8,15.9132826449023,13,11,17,3.57478373111227,4.13196021820096,4.57212234750291
35,"male",13,13.2610688707519,13,11,0.8,2.88145444259207,3.5915476515552,4.19798901298231
35,"male",4,15.9132826449023,13,10,12,3.3213091125778,3.94848791228965,4.45112178801322
29,"male",10,13.2610688707519,10,6,0.4,2.23668121920113,2.98010278927704,3.72791631595933
29,"male",10,12.3769976127018,14,4,16,2.77389492216841,3.49784983937471,4.12966495567595
25,"female",14,15.9132826449023,13,4,2,4.23213115962821,4.49062347096964,4.71249401035485
22,"male",13,15.0292113868522,10,5,1,3.95219527907281,4.36157564792909,4.6922930419966
39,"male",7,14.145140128802,11,6,13,3.09389959716841,3.76919307667286,4.32554464961125
24,"male",10,15.9132826449023,12,4,6,2.25325678639967,2.99764643858073,3.74255434628891
28,"male",2,14.145140128802,10,13,8,3.59049729212488,4.14264128983652,4.57873837323416
23,"female",9,18.5654964190527,14,2,4,4.23213115962821,4.49062347096964,4.71249401035485
21,"male",13,14.145140128802,12,8,4,3.11928518935506,3.78978435694912,4.34016241625316
25,"female",12,16.7973539029524,13,5,4,4.23213115962821,4.49062347096964,4.71249401035485
19,"male",11,10.6088550966015,9,12,1,3.95219527907281,4.36157564792909,4.6922930419966
42,"female",8,16.7973539029524,9,3,13,4.23213115962821,4.49062347096964,4.71249401035485
42,"male",5,11.4929263546517,14,11,22,3.27452950884725,3.91260420383901,4.4263630685179
29,"male",2,3.53628503220051,2,4,8,3.30471819896627,3.93582534057789,4.44241287629608
29,"male",6,15.9132826449023,14,6,6,3.95219527907281,4.36157564792909,4.6922930419966
24,"female",10,15.9132826449023,14,6,2,3.95219527907281,4.36157564792909,4.6922930419966
26,"male",7,10.6088550966015,14,10,0.2,2.09848374811399,2.82881597755559,3.59729803797608
25,"female",14,17.6814251610025,10,10,1,4.23213115962821,4.49062347096964,4.71249401035485
38,"female",14,14.145140128802,12,6,10,3.09805131265941,3.77257007014989,4.3279446543961
34,"male",2,2.65221377415038,14,13,1,1.49502038144683,2.0378247395968,2.73056051144707
76,"female",14,16.7973539029524,13,2,53,4.23213115962821,4.49062347096964,4.71249401035485
29,"female",2,9.7247838385514,14,8,12,1.75145361945917,2.40179818521711,3.17325651039466
29,"male",12,15.9132826449023,12,7,2,3.69734044738856,4.21283263234203,4.62040003943125
33,"male",12,10.6088550966015,12,12,1.3,2.83383016719615,3.55038972133668,4.16807533947194
